Reviewed_Status,Most_Recent_Status,Source,Net_Yield,IRR
Closed,Pend, MLS,11.79,28.8
Neww,Pend, MLS,14.71,5.67
Closed,Available, MLS,13.67,15.16
 Closed,Always Kick,M.L.S.,18.66,22.07
Offered,Close,Auction.com,11.62,22.63
Cancelled,Closed,Bulk,10.17,13.28
 Closed,Pend, MLS,15.43,10.71
Accepted Offer,Pend,Bulk,9.42,5.6
Cancelled,Closed,Opendoor,15.08,7.15
Offered,Pending, MLS,9.85,5.72
Cancelled,Pend,Broker,15.15,21.29
 Closed, Close ,M L S,10.31,24.39
Reviewed,Cancelled,M.L.S.,13.62,20.82
 Closed,Pend,Broker,13.6,21.55
 Closed,Cancel,Opendoor,19.13,23.05
Reviewed,Pend,Auction.com,5.29,11.44
 Closed,Pending, MLS,16.25,20.96
 Closed,Pending,Bulk,12.81,14.03
 Closed,Cancelled,Bulk,17.48,17.69
 Closed,Pending,Bulk,14.04,10.7
Neww,Pend,Broker,16.91,10.45
Cancelled,Close,Internal,13.45,19.02
Accepted Offer, Close ,Bulk,7.14,17.22
Neww,Available, MLS,2.94,27.52
New,Kick,Internal,18.12,10.23
 Closed, Close ,M L S,10.72,24.62
Offered,Pending,Auction.com,12.58,17.72
 Closed,Pending,M.L.S.,19.47,11.47
 Closed,Pending,Internal,5.83,21.99
 Closed,Pending,Auction.com,4.8100000000000005,9.83
Closed,Pend,Auction.com,8.99,9.82
Neww,Pending,M.L.S.,3.32,18.49
Neww,Pending,M L S,11.21,12.6
 Closed,Pend, MLS,9.08,21.86
Closed,Close,M L S,3.11,18.92
Neww,Pending,Internal,19.19,24.71
Closed,Closed,M.L.S.,12.32,27.12
Cancelled,Pending,Auction.com,6.21,19.69
Neww,Pending,Bulk,3.75,18.73
 Closed,Close,Internal,15.28,15.2
Neww,Cancel,Broker,14.8,10.16
Reviewed,Kick,Opendoor,13.25,15.35
Offered,Pending,Broker,17.47,18.38
Neww,Close,Opendoor,16.56,26.53
 Closed,Available,Internal,12.95,16.29
 Closed,Pend,Broker,16.5,17.4
 Closed,Pend,M.L.S.,4.02,28.04
Neww,Cancel,Opendoor,2.36,14.54
New,Pend, MLS,15.83,25.5
 Closed, Close , MLS,7.06,28.72
Closed,Available,Broker,7.72,11.96
 Closed,Always Kick,M.L.S.,15.12,27.77
Offered, Close ,Opendoor,8.34,18.66
Accepted Offer,Closed,M L S,16.87,28.6
Reviewed, Close ,Internal,8.11,6.31
 Closed,Closed,Auction.com,7.68,5.06
 Closed,Cancelled,Bulk,8.48,22.07
Closed,Pending,M L S,15.09,29.78
Accepted Offer, Close ,M.L.S.,8.98,5.04
Cancelled,Available,M.L.S.,4.74,16.25
Accepted Offer,Pending,Broker,11.71,19.1
 Closed,Closed,Broker,3.58,11.62
Accepted Offer,Closed,Broker,2.94,27.43
 Closed,Cancel,M L S,17.18,17.94
Offered,Kick,M L S,6.37,16.31
New,Always Kick,Bulk,6.7,24.23
Accepted Offer,Pending,Auction.com,12.08,28.25
Closed,Cancel,Auction.com,14.24,11.5
Neww,Pending,M.L.S.,7.49,20.75
Accepted Offer,Closed,Broker,3.36,26.53
New,Cancel,Internal,4.52,8.84
Accepted Offer,Available, MLS,9.72,19.19
New,Cancel,Internal,7.17,6.68
 Closed, Close ,Opendoor,19.3,6.72
 Closed,Always Kick, MLS,17.18,12.36
Reviewed,Always Kick,Internal,6.06,8.78
Neww,Closed, MLS,14.25,22.92
Reviewed,Cancel,Opendoor,2.89,11.05
Offered,Kick,M L S,12.31,22.97
Offered,Closed,Auction.com,3.33,13.01
Offered,Pending,Bulk,6.97,22.75
Cancelled,Cancelled,M L S,10.7,15.95
Accepted Offer,Cancelled,Broker,13.62,24.21
 Closed,Pending, MLS,2.25,11.76
 Closed,Available, MLS,15.59,8.39
Accepted Offer,Pend,Bulk,4.74,8.01
Neww,Pending, MLS,15.97,19.47
Offered,Kick, MLS,3.37,16.22
Closed,Cancelled,M L S,2.31,15.26
Accepted Offer,Pending,Auction.com,4.5,15.02
New,Closed,Bulk,3.58,10.53
Reviewed, Close ,M L S,13.39,16.81
Cancelled,Pend,Bulk,8.63,16.29
Cancelled,Pending,M L S,15.32,6.18
Closed,Pending, MLS,4.3,18.02
Reviewed,Pending,Bulk,16.72,14.57
Offered,Closed,M.L.S.,19.93,19.97
Accepted Offer,Pending,M L S,2.48,18.32
 Closed,Kick,M.L.S.,12.54,26.47
Accepted Offer,Cancelled,Broker,12.85,12.35
Accepted Offer,Kick,Opendoor,5.2,9.2
Neww,Cancel,Broker,3.48,29.02
Offered,Pending,Bulk,12.6,6.11
 Closed,Always Kick,Internal,15.68,13.01
Neww,Cancel, MLS,19.79,22.75
Cancelled,Cancel,M.L.S.,13.48,6.31
 Closed,Pending,M.L.S.,18.65,7.43
Accepted Offer,Close,M L S,17.4,18.12
Cancelled,Pend,Bulk,12.16,11.68
 Closed,Cancelled,Auction.com,12.67,12.43
New,Kick,Auction.com,15.03,24.19
Reviewed,Kick,Opendoor,11.87,12.21
Reviewed,Pending,Internal,7.18,28.64
Closed,Pending,Bulk,8.86,5.69
 Closed,Pending,M L S,15.62,10.0
Accepted Offer,Pending,Bulk,13.89,10.0
 Closed,Available,Auction.com,7.72,28.0
Offered,Pend, MLS,3.27,14.15
Reviewed,Pending,M.L.S.,4.12,25.57
Neww,Pending,M L S,7.99,9.08
 Closed,Pending,Broker,7.45,10.15
Closed,Always Kick,Bulk,8.71,22.33
Offered,Pending,Internal,9.94,17.2
New,Kick,Internal,5.28,5.51
 Closed,Cancelled,M L S,17.88,18.73
Offered,Cancelled,Broker,18.87,15.36
Offered,Pending,Opendoor,6.88,22.92
Reviewed,Cancel,Opendoor,10.21,20.24
 Closed,Closed, MLS,18.02,22.04
Offered,Cancel,Broker,3.7,15.44
 Closed, Close ,Bulk,19.44,19.67
 Closed,Pending, MLS,15.91,21.87
 Closed,Available,Bulk,18.23,24.06
Neww,Pending,M L S,12.37,8.97
Offered,Closed,Broker,3.81,9.89
Neww,Always Kick,Internal,15.1,17.49
Cancelled,Pending,M L S,2.05,14.88
Reviewed,Kick,Opendoor,4.42,19.78
Cancelled, Close ,Auction.com,11.88,14.73
Cancelled,Kick,Bulk,16.65,6.46
 Closed,Pend,Internal,9.2,28.26
 Closed,Close,M.L.S.,2.89,25.27
Accepted Offer,Cancelled,M L S,6.75,12.26
Neww,Kick,Bulk,10.27,27.44
Closed,Cancel,M.L.S.,8.61,15.28
Offered,Pend,Opendoor,2.09,21.51
 Closed,Pend,Auction.com,14.34,26.7
New,Pending,Broker,18.89,21.56
Neww,Always Kick, MLS,16.78,5.02
Offered,Pending,Auction.com,14.67,27.16
Reviewed,Available,Auction.com,17.84,13.1
Accepted Offer,Close,M.L.S.,5.66,12.98
Offered,Pending,M L S,8.7,19.2
 Closed,Pend, MLS,12.4,22.91
 Closed,Pend,Internal,17.98,14.57
Accepted Offer, Close ,Auction.com,14.64,10.56
Closed,Available,Broker,18.25,9.9
 Closed,Closed,Broker,14.76,29.41
 Closed,Pending,Broker,7.62,11.55
Reviewed, Close ,Opendoor,18.64,28.17
 Closed,Available,Opendoor,8.85,14.08
New,Pending,Auction.com,3.24,11.91
Accepted Offer,Pending,Bulk,13.32,8.09
 Closed,Pending,Opendoor,3.02,11.39
Reviewed,Pending,M L S,4.6,27.11
Reviewed,Pending,M L S,11.24,29.0
 Closed,Pending,M L S,2.2800000000000002,7.86
 Closed,Kick,Opendoor,18.0,6.43
New,Pending, MLS,5.64,23.05
 Closed,Pending,M.L.S.,18.76,14.8
New,Kick,Opendoor,7.91,20.98
New,Pending,Broker,2.87,13.75
 Closed,Available,Auction.com,19.95,25.09
Offered,Close, MLS,16.15,11.65
 Closed,Pending,Broker,2.99,27.33
Closed,Kick,M L S,14.19,19.73
 Closed,Always Kick,M L S,6.46,15.55
 Closed, Close , MLS,5.54,21.88
Offered,Pending,M L S,4.17,19.11
 Closed,Cancel,Auction.com,11.04,14.29
New,Kick,M L S,4.64,20.2
 Closed,Close,M.L.S.,13.41,5.24
Closed,Available,M.L.S.,17.67,14.84
 Closed,Cancelled, MLS,14.39,26.47
Offered, Close ,Internal,15.19,23.18
Reviewed,Pending,Bulk,2.9699999999999998,15.65
Cancelled,Always Kick,Opendoor,4.18,27.64
Cancelled,Available,Broker,7.54,17.13
Reviewed,Pending,M.L.S.,3.24,26.2
Accepted Offer,Pend,Internal,17.41,20.87
Cancelled, Close , MLS,9.65,19.47
 Closed,Closed,M L S,14.8,28.33
Reviewed,Pend,Internal,10.6,22.42
New,Always Kick,Broker,3.6,10.44
Cancelled,Cancel,Auction.com,9.74,29.15
 Closed,Cancelled,Auction.com,6.78,12.39
 Closed,Closed, MLS,5.35,11.95
Accepted Offer,Cancel,Bulk,11.86,17.58
 Closed,Cancel,Internal,8.09,7.43
 Closed,Cancelled,Internal,14.5,22.75
Neww,Closed,M L S,14.05,16.95
New,Pending,Opendoor,19.09,26.67
Cancelled,Closed,Broker,7.43,29.55
 Closed,Close,Opendoor,19.31,24.33
Closed, Close ,Bulk,6.45,21.41
Closed, Close ,Internal,14.96,10.87
 Closed,Available,Bulk,14.58,29.8
New,Pending,M.L.S.,14.75,7.13
Offered,Cancel,Bulk,13.51,5.5
Cancelled,Close,Opendoor,9.11,12.1
Offered,Pending,M L S,12.98,7.32
 Closed,Cancel,Broker,15.96,5.1
 Closed,Always Kick,Internal,12.55,17.18
 Closed,Pending,Bulk,7.19,27.54
Offered,Always Kick,M.L.S.,11.64,12.46
Reviewed,Always Kick,Opendoor,18.73,23.87
Closed,Close,Auction.com,17.87,9.28
Reviewed,Kick,Auction.com,9.15,8.35
 Closed,Pend,Broker,2.36,9.92
Accepted Offer,Pend,Broker,16.33,13.31
Offered,Cancel,Internal,4.11,23.58
New,Pending,Internal,3.08,16.74
Neww,Close,Auction.com,19.48,8.1
Closed,Cancel,Broker,14.06,18.64
Neww,Pending,Internal,6.67,15.24
 Closed,Always Kick,Bulk,2.84,22.67
Closed,Kick, MLS,13.4,8.78
 Closed,Available, MLS,4.94,24.1
Reviewed,Pending,Internal,4.87,28.72
 Closed,Close,Opendoor,4.41,12.39
Cancelled,Close,M L S,11.72,6.97
Closed,Kick,Broker,19.33,5.77
Offered,Cancel,M L S,14.66,10.53
Cancelled,Close,M L S,11.48,8.14
Offered,Cancelled,Bulk,8.77,22.63
Closed,Closed,Auction.com,14.11,8.47
Closed,Pending, MLS,13.55,26.9
Neww,Pending,Bulk,14.36,24.14
Offered,Cancel,Internal,14.44,26.0
 Closed,Available,Opendoor,12.03,18.23
Neww,Cancelled,Auction.com,19.41,22.05
Accepted Offer,Pending, MLS,2.5,23.77
Accepted Offer,Kick, MLS,10.9,12.18
Neww,Cancelled,Bulk,15.34,14.55
Offered,Kick,Broker,9.57,8.27
Closed,Closed, MLS,15.06,15.01
New,Always Kick,Bulk,12.42,14.55
Cancelled, Close ,M L S,6.8,9.83
Accepted Offer,Pending,Broker,3.9699999999999998,16.86
 Closed,Pending,Broker,16.82,23.56
Reviewed,Close,Auction.com,2.84,9.85
Neww,Cancel,Auction.com,13.75,7.89
Offered,Kick,Internal,5.61,14.15
 Closed,Pending,M.L.S.,15.13,9.64
Reviewed,Closed,Auction.com,14.7,5.63
Offered,Cancelled, MLS,8.84,15.66
Accepted Offer,Always Kick,Opendoor,9.68,10.33
Accepted Offer,Cancelled,Bulk,3.19,13.21
 Closed,Pending,M L S,11.73,21.13
 Closed,Always Kick,Bulk,5.83,19.36
Cancelled,Pend,M L S,17.73,15.92
Neww,Cancelled,M.L.S.,16.97,20.89
Neww,Pend,Internal,14.55,9.67
Offered,Pending,Opendoor,15.53,14.78
Closed,Close,Opendoor,8.52,14.52
Cancelled,Kick,Bulk,6.28,9.16
Neww, Close ,Opendoor,6.25,5.66
 Closed,Available,M.L.S.,18.49,24.7
Neww,Always Kick, MLS,4.93,29.49
Accepted Offer,Available,M L S,19.43,21.53
 Closed,Pend,M L S,12.15,21.2
 Closed,Cancel,Broker,9.93,22.34
Offered,Pending,M L S,15.9,15.62
New,Closed,Auction.com,13.58,10.33
 Closed,Pending, MLS,4.59,24.93
Accepted Offer,Closed,M L S,3.29,29.62
Cancelled,Kick,Bulk,8.8,9.78
Closed,Kick,Opendoor,10.79,16.32
Neww,Available,Opendoor,11.05,6.99
Reviewed,Pend, MLS,18.83,21.44
Neww,Always Kick,Auction.com,15.21,28.06
Cancelled,Pending,Broker,5.04,25.41
Accepted Offer,Always Kick, MLS,3.03,19.51
Closed,Pending,Broker,17.31,6.98
Reviewed,Pending,M L S,5.89,7.66
 Closed,Pend,Broker,16.01,23.82
Cancelled,Available,Auction.com,17.58,27.78
New,Always Kick,Bulk,9.5,20.48
Cancelled,Pending,M.L.S.,19.52,13.08
Cancelled,Kick,M.L.S.,4.99,14.8
 Closed,Cancelled,Auction.com,10.63,23.76
 Closed,Available,Internal,18.88,26.32
Neww,Close,Auction.com,3.66,24.0
Offered,Cancel,Broker,9.59,6.72
 Closed,Kick,M.L.S.,5.29,28.89
Closed,Cancelled,Auction.com,11.72,25.93
Offered,Kick,Internal,9.42,20.54
Reviewed,Kick, MLS,10.47,16.14
Neww,Pending,M L S,17.77,11.09
Offered,Closed,Opendoor,12.13,26.62
Accepted Offer,Close, MLS,16.16,24.23
Reviewed, Close ,Broker,10.16,8.36
Cancelled,Always Kick,Auction.com,16.84,15.33
Reviewed,Available,Internal,2.59,18.53
Accepted Offer,Kick,M L S,2.42,29.04
Neww,Cancel,Bulk,16.92,16.69
 Closed,Pending,Broker,11.01,19.02
 Closed,Cancelled,M.L.S.,7.67,10.62
Reviewed,Available,Broker,2.25,23.14
New,Pend,Bulk,2.93,20.48
Accepted Offer,Always Kick,M.L.S.,19.1,24.3
Neww,Closed,Bulk,19.69,23.54
