Property_Title,Address,Market,Street_Address,City,State,Zip,Property_Type,Tax_Rate,SQFT_Basement,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,Layout,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"358 Nicholas Mission, Marystad, PW 21247","358 Nicholas Mission, Marystad, PW 21247",Tampa,358 Nicholas Mission,Marystad,PW,21247,Condo,1.06,511,1942,3237,7285,Driveway,4,3,Ranch,3,39.128145,-79.925964,Shoals,7.1
"04891 Allison Stravenue, East Anthonyside, ME 96507","04891 Allison Stravenue, East Anthonyside, ME 96507",Dalas,04891 Allison Stravenue,East Anthonyside,ME,96507,SFR,3.26,539,1940,733,6500,Driveway,6,1,Split,2,40.106328,-115.792649,Fall,6.24
"137 Thomas Path Suite 852, North Michellechester, DC 19731","137 Thomas Path Suite 852, North Michellechester, DC 19731",Tampa,137 Thomas Path Suite 852,North Michellechester,DC,19731,SFR,2.2,448,1990,2139,4171,Garage,5,1,Ranch,1,39.762567,-97.400005,Village,6.06
"37215 Zachary Village, Cookeport, LA 91976","37215 Zachary Village, Cookeport, LA 91976",Tampa,37215 Zachary Village,Cookeport,LA,91976,Condo,1.65,786,1987,1261,4186,Driveway,1,1,Ranch,2,41.246,-114.863184,Trail,8.99
"43308 Stephanie Course Apt. 594, Ashleyport, NE 94266","43308 Stephanie Course Apt. 594, Ashleyport, NE 94266", Closed,43308 Stephanie Course Apt. 594,Ashleyport,NE,94266,Duplex,2.63,1791,1920,3441,8599,Street,1,1,Ranch,3,39.062598,-114.577169,Roads,6.19
"27003 Thompson Forks, East Leahbury, MA 57844","27003 Thompson Forks, East Leahbury, MA 57844",Dalas,27003 Thompson Forks,East Leahbury,MA,57844,SFR,2.49,1096,2021,2588,6983,Driveway,4,1,Ranch,2,33.937865,-106.53365,Villages,6.8
"646 Swanson Road Suite 536, Barryfort, KS 04611","646 Swanson Road Suite 536, Barryfort, KS 04611",Chicago,646 Swanson Road Suite 536,Barryfort,KS,4611,Single Family Home,1.79,355,1999,1527,8049,Street,6,4,Ranch,1,41.793581,-86.845644,Underpass,3.41
"7302 Daryl Highway, West Brian, ME 60038","7302 Daryl Highway, West Brian, ME 60038",Atlanta,7302 Daryl Highway,West Brian,ME,60038,Condo,3.04,1531,1956,2908,7716,Street,6,1,Colonial,4,37.076477,-83.074309,Summit,7.98
"0629 Anderson Coves Suite 889, Alyssaberg, MT 29286","0629 Anderson Coves Suite 889, Alyssaberg, MT 29286",Chicgo,0629 Anderson Coves Suite 889,Alyssaberg,MT,29286,Single Family Home,2.74,1563,1996,3141,4511,Street,1,1,Ranch,2,41.706125,-104.232499,Neck,4.15
"34505 Jordan Ramp, New Jenniferstad, TN 23319","34505 Jordan Ramp, New Jenniferstad, TN 23319",Chicgo,34505 Jordan Ramp,New Jenniferstad,TN,23319,SFR,1.07,1872,1944,1341,7935,Street,3,1,Ranch,3,33.961786,-101.387703,Shoals,4.06
"24370 Dixon Corners Suite 924, Martinmouth, OK 83765","24370 Dixon Corners Suite 924, Martinmouth, OK 83765",Tampa,24370 Dixon Corners Suite 924,Martinmouth,OK,83765,Condo,2.0,1225,1934,547,8942,Garage,4,1,Ranch,2,34.886,-111.517713,Groves,7.39
"5342 Hill Radial, Estradaton, MH 91801","5342 Hill Radial, Estradaton, MH 91801",Florida,5342 Hill Radial,Estradaton,MH,91801,Duplex,1.45,1900,1921,1767,7546,Street,3,2,Ranch,3,36.417808,-99.774869,Port,3.47
"8749 Fuller Forge Apt. 828, North Alexis, IL 83103","8749 Fuller Forge Apt. 828, North Alexis, IL 83103",Tampa,8749 Fuller Forge Apt. 828,North Alexis,IL,83103,SFR,2.41,857,1982,3174,4963,Street,5,4,Ranch,2,40.983553,-103.558545,Stream,8.18
"835 Beverly Spring Suite 554, New Veronica, KY 63693","835 Beverly Spring Suite 554, New Veronica, KY 63693",Dallas,835 Beverly Spring Suite 554,New Veronica,KY,63693,Condo,1.7000000000000002,161,1962,929,6965,Street,2,1,Ranch,2,37.262563,-105.60267,Hill,8.4
"325 Whitaker Route, Stewartmouth, NE 14681","325 Whitaker Route, Stewartmouth, NE 14681", Closed,325 Whitaker Route,Stewartmouth,NE,14681,Single Family Home,2.89,396,2018,3233,7200,Street,5,1,Ranch,4,37.068043,-78.267243,Views,5.37
"747 Christopher Manor Suite 881, Lake Diana, ID 23973","747 Christopher Manor Suite 881, Lake Diana, ID 23973", Closed,747 Christopher Manor Suite 881,Lake Diana,ID,23973,SFR,1.65,1702,2017,1434,6441,Street,3,1,Colonial,2,36.104305,-93.640281,Lodge,9.36
"093 Hunter Stravenue, Victoriaborough, NC 11908","093 Hunter Stravenue, Victoriaborough, NC 11908",Dalas,093 Hunter Stravenue,Victoriaborough,NC,11908,SFR,3.38,491,1990,2353,7759,Street,3,3,Split,5,41.916295,-86.312394,Greens,4.58
"8107 Johnson Pike Apt. 346, New Davidport, FL 05662","8107 Johnson Pike Apt. 346, New Davidport, FL 05662",Florida,8107 Johnson Pike Apt. 346,New Davidport,FL,5662,Condo,1.56,841,2020,1678,7972,Driveway,3,3,Ranch,3,36.753113,-79.773615,Station,4.31
"9915 Ann Plain, Deanport, WY 13549","9915 Ann Plain, Deanport, WY 13549", Closed,9915 Ann Plain,Deanport,WY,13549,Single Family Home,2.89,1343,1966,3397,7912,Street,6,1,Colonial,1,40.745904,-93.566393,Isle,9.16
"1021 Susan Expressway, Reevesland, WY 96293","1021 Susan Expressway, Reevesland, WY 96293",Atlanta,1021 Susan Expressway,Reevesland,WY,96293,Condo,3.44,1232,1934,1314,4240,Garage,3,4,Ranch,3,40.721806,-73.244338,Mountain,5.3
"76111 Kari Estates, New Brittany, HI 43462","76111 Kari Estates, New Brittany, HI 43462",Dalas,76111 Kari Estates,New Brittany,HI,43462,Single Family Home,1.9300000000000002,911,1930,3492,8238,Driveway,2,3,Colonial,5,41.127827,-78.373319,Roads,4.64
"09301 Alex Garden Suite 396, East Ericmouth, HI 48407","09301 Alex Garden Suite 396, East Ericmouth, HI 48407", Closed,09301 Alex Garden Suite 396,East Ericmouth,HI,48407,Townhouse,3.13,809,1976,3374,4056,Garage,6,4,Ranch,3,40.333745,-85.092666,Trafficway,5.63
"2306 Jason Point, East Nancyside, VI 20629","2306 Jason Point, East Nancyside, VI 20629",Dallas,2306 Jason Point,East Nancyside,VI,20629,Duplex,1.58,1737,1960,1158,8846,Driveway,1,1,Colonial,2,34.408555,-102.892927,Plain,4.89
"652 Hannah Land, Pattonton, MS 58235","652 Hannah Land, Pattonton, MS 58235",Dallas,652 Hannah Land,Pattonton,MS,58235,Single Family Home,3.02,836,1968,2091,7552,Garage,1,2,Colonial,5,39.35717,-107.275772,Parkway,4.67
"81140 Catherine Port, North Erik, OR 30636","81140 Catherine Port, North Erik, OR 30636", Closed,81140 Catherine Port,North Erik,OR,30636,Duplex,1.77,1858,1955,735,4677,Street,2,3,Ranch,4,37.341042,-116.149645,Unions,5.25
"31389 Atkins Alley, Keybury, AS 21790","31389 Atkins Alley, Keybury, AS 21790",Chicgo,31389 Atkins Alley,Keybury,AS,21790,Condo,2.21,964,1974,1615,5979,Street,2,2,Ranch,2,36.709744,-112.747029,Estates,9.46
"189 Danielle Drives Suite 257, Wallaceside, VI 04284","189 Danielle Drives Suite 257, Wallaceside, VI 04284",Dalas,189 Danielle Drives Suite 257,Wallaceside,VI,4284,Single Family Home,1.31,1744,1980,2242,8931,Street,4,4,Split,4,33.626132,-75.153572,Track,3.2
"5073 Samuel Corner Suite 684, Port Adamberg, AZ 54317","5073 Samuel Corner Suite 684, Port Adamberg, AZ 54317",Dalas,5073 Samuel Corner Suite 684,Port Adamberg,AZ,54317,Duplex,1.65,942,2021,2959,9029,Street,5,1,Colonial,2,39.183508,-77.323914,Loaf,8.72
"44621 Price Via Suite 243, New Victortown, UT 48230","44621 Price Via Suite 243, New Victortown, UT 48230", Closed,44621 Price Via Suite 243,New Victortown,UT,48230,Duplex,2.86,1508,1996,1796,3912,Garage,5,1,Ranch,1,35.538525,-87.5541,Pike,6.31
"8911 William Road Apt. 219, South Donna, GA 10970","8911 William Road Apt. 219, South Donna, GA 10970",Dalas,8911 William Road Apt. 219,South Donna,GA,10970,Duplex,2.62,1144,1935,1135,5054,Garage,1,4,Ranch,5,34.483974,-79.252398,Lodge,9.83
"5866 Ryan Ports Suite 082, Baldwinhaven, NC 49168","5866 Ryan Ports Suite 082, Baldwinhaven, NC 49168",Tampa,5866 Ryan Ports Suite 082,Baldwinhaven,NC,49168,Townhouse,1.87,1914,1933,2464,5825,Driveway,4,3,Split,3,33.551617,-96.831736,Views,3.38
"47850 Vang Cape, New Matthew, DC 86284","47850 Vang Cape, New Matthew, DC 86284",Atlanta,47850 Vang Cape,New Matthew,DC,86284,SFR,1.63,1506,1944,2106,6095,Street,1,2,Colonial,4,39.558778,-113.30977,Station,6.44
"4477 Omar Squares Apt. 128, Zacharyview, HI 88461","4477 Omar Squares Apt. 128, Zacharyview, HI 88461",Chicago,4477 Omar Squares Apt. 128,Zacharyview,HI,88461,Condo,1.97,173,1942,2675,9362,Driveway,4,2,Ranch,4,40.987941,-114.008584,Ports,7.83
"717 Arias Run Apt. 784, Melissaland, AR 60231","717 Arias Run Apt. 784, Melissaland, AR 60231", Closed,717 Arias Run Apt. 784,Melissaland,AR,60231,Condo,2.1,477,1941,3011,6332,Street,6,1,Ranch,1,35.593028,-87.089633,Centers,8.88
"5272 Benjamin Union Suite 907, Stoutbury, AS 31836","5272 Benjamin Union Suite 907, Stoutbury, AS 31836",Atlanta,5272 Benjamin Union Suite 907,Stoutbury,AS,31836,Condo,3.12,301,1941,1935,4353,Street,2,1,Ranch,5,41.865028,-87.399928,Cliff,3.88
"0771 Jason Motorway Apt. 167, East Lisa, NJ 58194","0771 Jason Motorway Apt. 167, East Lisa, NJ 58194",Atlanta,0771 Jason Motorway Apt. 167,East Lisa,NJ,58194,Condo,2.35,946,1941,2246,7706,Street,5,2,Colonial,1,38.334531,-85.3658,Route,9.34
"7902 Stephanie Keys, Lindaburgh, IN 27016","7902 Stephanie Keys, Lindaburgh, IN 27016",Dallas,7902 Stephanie Keys,Lindaburgh,IN,27016,Townhouse,3.38,1973,1971,1687,9870,Street,4,1,Split,1,33.982972,-117.779513,Rapids,9.99
"52374 Ramirez Park, West Cherylton, KY 70868","52374 Ramirez Park, West Cherylton, KY 70868",Florida,52374 Ramirez Park,West Cherylton,KY,70868,Townhouse,3.06,1393,1946,1911,9423,Street,3,3,Split,4,34.44408,-108.545705,Club,8.29
"8774 Craig Field Apt. 672, South Chloe, VA 08684","8774 Craig Field Apt. 672, South Chloe, VA 08684",Atlanta,8774 Craig Field Apt. 672,South Chloe,VA,8684,Townhouse,2.22,1427,2012,2450,6318,Garage,4,2,Ranch,5,41.005836,-89.965448,Shoal,5.18
"85996 Peterson Turnpike, New Ericfurt, SC 92355","85996 Peterson Turnpike, New Ericfurt, SC 92355",Florida,85996 Peterson Turnpike,New Ericfurt,SC,92355,Duplex,2.48,1477,1922,2248,4088,Street,3,4,Colonial,1,34.78764,-116.260904,Junction,4.75
"0553 Lambert Circle Suite 906, Port Kyle, HI 14557","0553 Lambert Circle Suite 906, Port Kyle, HI 14557",Tampa,0553 Lambert Circle Suite 906,Port Kyle,HI,14557,Duplex,1.77,1917,1938,2455,9974,Garage,5,4,Ranch,5,38.3856,-113.978812,Garden,4.66
"8415 Smith Walks Apt. 769, West Rickyburgh, NH 13960","8415 Smith Walks Apt. 769, West Rickyburgh, NH 13960",Dalas,8415 Smith Walks Apt. 769,West Rickyburgh,NH,13960,Single Family Home,2.79,1526,1952,1001,4620,Driveway,3,2,Split,4,41.953883,-106.119198,Lane,8.69
"845 Timothy Harbor Suite 528, South Keithmouth, SD 86553","845 Timothy Harbor Suite 528, South Keithmouth, SD 86553", Closed,845 Timothy Harbor Suite 528,South Keithmouth,SD,86553,Duplex,1.16,241,1964,672,9300,Street,6,3,Split,3,41.102579,-106.390054,Falls,5.26
"530 Coleman Key, South Andrew, OR 68543","530 Coleman Key, South Andrew, OR 68543",Dallas,530 Coleman Key,South Andrew,OR,68543,Condo,1.53,1631,1963,1809,4246,Street,3,2,Split,5,35.379346,-103.130606,Garden,6.7
"185 Loretta Walks Suite 224, Gomezton, IN 88330","185 Loretta Walks Suite 224, Gomezton, IN 88330",Dalas,185 Loretta Walks Suite 224,Gomezton,IN,88330,Single Family Home,3.14,1937,1945,1142,9261,Garage,2,1,Ranch,2,33.34046,-87.03496,Plains,5.47
"474 Scott Green, East Carolyn, SD 52517","474 Scott Green, East Carolyn, SD 52517",Chicgo,474 Scott Green,East Carolyn,SD,52517,Single Family Home,2.96,301,1999,3398,7507,Driveway,4,1,Split,2,41.442801,-110.464449,View,8.42
"558 Ashley Light Apt. 870, Dayport, HI 02115","558 Ashley Light Apt. 870, Dayport, HI 02115",Chicgo,558 Ashley Light Apt. 870,Dayport,HI,2115,SFR,1.23,1572,1940,2521,5108,Garage,2,3,Colonial,3,35.408204,-104.077139,Mountain,6.88
"4504 William Light Apt. 321, South Kurtside, NV 76721","4504 William Light Apt. 321, South Kurtside, NV 76721",Dalas,4504 William Light Apt. 321,South Kurtside,NV,76721,Townhouse,3.04,38,2000,2152,6421,Driveway,2,3,Ranch,5,40.273609,-104.820246,Curve,8.23
"47032 Rosario Highway Suite 683, Acostabury, MH 80104","47032 Rosario Highway Suite 683, Acostabury, MH 80104", Closed,47032 Rosario Highway Suite 683,Acostabury,MH,80104,Single Family Home,1.72,428,1996,1576,6451,Driveway,3,1,Ranch,3,40.578652,-108.882189,Islands,9.24
"990 Tanya Flats, Gomezville, FL 67896","990 Tanya Flats, Gomezville, FL 67896",Atlanta,990 Tanya Flats,Gomezville,FL,67896,Single Family Home,2.17,1631,1990,1494,5575,Garage,6,2,Colonial,2,37.568996,-73.363168,Lodge,7.34
"4228 Robert Knolls Suite 469, New Timothymouth, AR 63399","4228 Robert Knolls Suite 469, New Timothymouth, AR 63399",Chicgo,4228 Robert Knolls Suite 469,New Timothymouth,AR,63399,Single Family Home,3.07,410,2020,2226,3502,Garage,3,2,Ranch,2,39.611224,-102.062124,Trafficway,4.06
"508 Baker Stream, Port Alan, WA 62362","508 Baker Stream, Port Alan, WA 62362",Dallas,508 Baker Stream,Port Alan,WA,62362,Single Family Home,2.19,1821,2017,2585,4073,Driveway,4,4,Ranch,5,36.460542,-76.160247,Stravenue,8.24
"733 Jessica Mills, Brownbury, KY 08610","733 Jessica Mills, Brownbury, KY 08610",Chicago,733 Jessica Mills,Brownbury,KY,8610,Townhouse,1.53,821,1983,1747,9971,Street,6,1,Ranch,1,36.359769,-85.310936,Turnpike,7.04
"72391 Amber Motorway Suite 803, Nguyenburgh, GU 46272","72391 Amber Motorway Suite 803, Nguyenburgh, GU 46272",Dalas,72391 Amber Motorway Suite 803,Nguyenburgh,GU,46272,Townhouse,2.37,1084,1985,1594,7274,Garage,5,1,Ranch,2,37.87841,-92.980006,Plaza,9.19
"603 Berg Fort Suite 850, Silvafort, NJ 64848","603 Berg Fort Suite 850, Silvafort, NJ 64848",Tampa,603 Berg Fort Suite 850,Silvafort,NJ,64848,Townhouse,1.19,1444,1982,2245,9868,Street,5,4,Colonial,1,39.688807,-73.526094,Viaduct,4.54
"520 Bird Islands, Lake William, KS 25023","520 Bird Islands, Lake William, KS 25023", Closed,520 Bird Islands,Lake William,KS,25023,Townhouse,1.99,933,1940,536,5522,Garage,1,2,Colonial,4,40.886598,-104.670416,Harbors,8.08
"2485 Collins Island, West Alicia, AK 89397","2485 Collins Island, West Alicia, AK 89397",Chicgo,2485 Collins Island,West Alicia,AK,89397,Single Family Home,1.54,205,2017,1603,3601,Driveway,3,1,Ranch,4,35.396403,-108.895483,Harbors,8.24
"0913 Jeffrey Falls, Lake Jefferyfort, NY 20974","0913 Jeffrey Falls, Lake Jefferyfort, NY 20974", Closed,0913 Jeffrey Falls,Lake Jefferyfort,NY,20974,Duplex,2.02,1682,1986,3000,3735,Driveway,3,3,Colonial,3,33.725299,-87.251878,Point,7.51
"6545 Lopez Circles, North Brianna, NH 44099","6545 Lopez Circles, North Brianna, NH 44099",Chicgo,6545 Lopez Circles,North Brianna,NH,44099,Duplex,3.26,890,1944,3026,5682,Street,4,3,Ranch,5,38.623676,-76.837278,Common,9.66
"731 Jennifer Crest Suite 680, Lake Luismouth, ND 21301","731 Jennifer Crest Suite 680, Lake Luismouth, ND 21301",Chicgo,731 Jennifer Crest Suite 680,Lake Luismouth,ND,21301,SFR,1.22,1528,1958,563,3595,Driveway,1,4,Colonial,2,41.83494,-81.546668,Lane,9.03
"113 Joseph Tunnel, North Sandrashire, WV 36436","113 Joseph Tunnel, North Sandrashire, WV 36436",Chicago,113 Joseph Tunnel,North Sandrashire,WV,36436,SFR,1.58,1832,2021,2037,8003,Street,2,1,Ranch,1,40.487477,-102.748097,Spur,6.68
"035 Chapman Camp Apt. 809, Aliciaville, AR 94378","035 Chapman Camp Apt. 809, Aliciaville, AR 94378",Tampa,035 Chapman Camp Apt. 809,Aliciaville,AR,94378,Townhouse,2.9,254,1987,1093,3851,Driveway,1,1,Split,1,37.172581,-91.423918,Lights,6.65
"76303 Ryan Underpass Suite 283, Lake Anthonyton, CT 26480","76303 Ryan Underpass Suite 283, Lake Anthonyton, CT 26480",Tampa,76303 Ryan Underpass Suite 283,Lake Anthonyton,CT,26480,Duplex,1.63,372,1923,2278,6739,Street,3,4,Ranch,2,37.82435,-104.226227,Field,7.15
"81334 Thomas Creek, Turnerside, VA 23067","81334 Thomas Creek, Turnerside, VA 23067", Closed,81334 Thomas Creek,Turnerside,VA,23067,Duplex,2.23,1679,1960,3144,8845,Driveway,5,3,Split,1,33.068318,-111.90629,Loop,4.38
"65405 Fry Locks, North Robert, NJ 55056","65405 Fry Locks, North Robert, NJ 55056",Atlanta,65405 Fry Locks,North Robert,NJ,55056,Townhouse,1.8900000000000001,1418,2009,3090,9007,Garage,2,2,Split,3,36.860625,-74.943463,Crossing,5.7
"7249 Morales Haven, Port Carol, ND 04041","7249 Morales Haven, Port Carol, ND 04041",Dallas,7249 Morales Haven,Port Carol,ND,4041,Townhouse,1.44,657,1981,2844,7328,Street,4,3,Split,5,38.10408,-84.942699,Branch,8.52
"001 Shaw Garden Suite 559, Port Kevin, KY 62010","001 Shaw Garden Suite 559, Port Kevin, KY 62010",Chicago,001 Shaw Garden Suite 559,Port Kevin,KY,62010,Townhouse,2.92,130,1962,1710,3764,Garage,4,1,Split,3,36.964882,-81.933409,Road,3.89
"85866 Glen Viaduct, Austinchester, RI 30608","85866 Glen Viaduct, Austinchester, RI 30608",Dalas,85866 Glen Viaduct,Austinchester,RI,30608,Duplex,3.19,381,1982,978,9574,Street,3,2,Ranch,3,38.169188,-84.508802,Club,5.69
"45151 Matthew Cliffs Apt. 635, Daniellefort, MN 29379","45151 Matthew Cliffs Apt. 635, Daniellefort, MN 29379",Tampa,45151 Matthew Cliffs Apt. 635,Daniellefort,MN,29379,SFR,2.47,1179,1973,1246,8171,Street,1,1,Ranch,1,41.311951,-112.140398,Passage,6.47
"860 Joshua Falls, Davidbury, VT 03077","860 Joshua Falls, Davidbury, VT 03077",Tampa,860 Joshua Falls,Davidbury,VT,3077,Townhouse,2.61,1361,2013,1879,4355,Driveway,2,3,Ranch,2,34.506701,-95.954308,Village,4.07
"84405 Andre Estates Apt. 958, Lake Michaelfort, AR 52765","84405 Andre Estates Apt. 958, Lake Michaelfort, AR 52765",Dallas,84405 Andre Estates Apt. 958,Lake Michaelfort,AR,52765,Duplex,2.69,1963,1956,2713,6306,Street,6,2,Split,5,34.819368,-99.436267,Canyon,8.43
"772 Darlene Ways, Howardton, OH 94330","772 Darlene Ways, Howardton, OH 94330",Tampa,772 Darlene Ways,Howardton,OH,94330,Single Family Home,2.16,1117,1973,2477,5296,Street,5,1,Colonial,3,36.085692,-110.281769,Canyon,8.52
"678 Lozano Ford Apt. 390, North Kimberly, CA 25555","678 Lozano Ford Apt. 390, North Kimberly, CA 25555",Florida,678 Lozano Ford Apt. 390,North Kimberly,CA,25555,Townhouse,1.94,1449,1949,1646,8316,Street,6,4,Ranch,4,38.097817,-83.778533,Extensions,7.76
"94627 Leonard Circles, Port Joseph, FM 90101","94627 Leonard Circles, Port Joseph, FM 90101",Dalas,94627 Leonard Circles,Port Joseph,FM,90101,SFR,3.47,759,1985,3450,6871,Driveway,2,2,Split,3,34.371597,-75.731906,Keys,3.75
"40894 Arias Mountain Apt. 946, Lake Cheryl, IA 38065","40894 Arias Mountain Apt. 946, Lake Cheryl, IA 38065", Closed,40894 Arias Mountain Apt. 946,Lake Cheryl,IA,38065,Condo,1.69,509,1935,2453,6589,Garage,6,4,Ranch,3,39.662251,-88.684712,Courts,5.78
"601 Russell Stravenue Suite 084, Sueberg, TN 83513","601 Russell Stravenue Suite 084, Sueberg, TN 83513",Florida,601 Russell Stravenue Suite 084,Sueberg,TN,83513,Duplex,1.99,973,2016,3487,6982,Garage,3,3,Ranch,4,41.57627,-88.515312,Turnpike,8.04
"213 Lisa Views Apt. 566, South Matthew, RI 91119","213 Lisa Views Apt. 566, South Matthew, RI 91119", Closed,213 Lisa Views Apt. 566,South Matthew,RI,91119,Townhouse,2.83,378,1966,2041,4509,Street,4,2,Colonial,2,37.697257,-116.722873,Turnpike,6.98
"62466 James Road Suite 857, West Shaun, AR 09582","62466 James Road Suite 857, West Shaun, AR 09582", Closed,62466 James Road Suite 857,West Shaun,AR,9582,SFR,1.72,190,2004,2178,7362,Driveway,2,2,Ranch,2,40.815972,-89.349173,Summit,8.21
"93766 Davidson Port, New Deborahstad, DC 87865","93766 Davidson Port, New Deborahstad, DC 87865",Dallas,93766 Davidson Port,New Deborahstad,DC,87865,Single Family Home,2.11,825,1936,2934,9164,Garage,3,1,Colonial,3,33.097002,-117.839491,Walks,8.65
"63622 Long Roads, Williamsville, IN 38016","63622 Long Roads, Williamsville, IN 38016",Florida,63622 Long Roads,Williamsville,IN,38016,Single Family Home,3.06,1268,2024,2982,7789,Garage,5,2,Ranch,4,40.846516,-102.831427,Highway,3.87
"01460 Katrina Club Suite 400, West Ryan, NY 01525","01460 Katrina Club Suite 400, West Ryan, NY 01525",Atlanta,01460 Katrina Club Suite 400,West Ryan,NY,1525,Condo,1.83,847,2010,2433,8869,Driveway,5,4,Colonial,3,41.997973,-95.763058,Trail,7.9
"2356 Hudson Court, West Jessicamouth, AR 84699","2356 Hudson Court, West Jessicamouth, AR 84699",Dalas,2356 Hudson Court,West Jessicamouth,AR,84699,Townhouse,3.02,776,1982,3041,4279,Street,6,3,Colonial,1,38.497205,-91.115966,Crossroad,7.2
"9746 Ryan Forges, North Andrew, MS 27798","9746 Ryan Forges, North Andrew, MS 27798",Chicago,9746 Ryan Forges,North Andrew,MS,27798,SFR,3.33,856,1962,3319,3947,Street,6,1,Ranch,2,41.53897,-107.673869,Parkway,6.8
"7381 Kelly Hills, Collinsville, MT 29779","7381 Kelly Hills, Collinsville, MT 29779",Chicago,7381 Kelly Hills,Collinsville,MT,29779,Condo,1.8599999999999999,388,1993,1740,7789,Street,6,1,Split,1,33.867553,-111.662855,Courts,6.4
"208 Mueller Village, Maysburgh, NV 28216","208 Mueller Village, Maysburgh, NV 28216", Closed,208 Mueller Village,Maysburgh,NV,28216,Duplex,1.32,40,1938,3430,6457,Driveway,1,2,Split,1,35.746194,-78.026632,Via,5.06
"5199 Ramirez Rue Apt. 955, Lake Penny, FM 27860","5199 Ramirez Rue Apt. 955, Lake Penny, FM 27860",Florida,5199 Ramirez Rue Apt. 955,Lake Penny,FM,27860,Duplex,3.4,632,1926,3093,7680,Street,1,4,Ranch,5,35.22163,-96.039239,Light,8.21
"7212 Matthews Trace Apt. 648, Wendyberg, LA 07120","7212 Matthews Trace Apt. 648, Wendyberg, LA 07120",Florida,7212 Matthews Trace Apt. 648,Wendyberg,LA,7120,Duplex,1.27,505,1944,2894,4233,Street,2,2,Ranch,4,36.831408,-93.606457,Hill,4.52
"906 Sanchez Summit Suite 003, Jenniferport, VT 73286","906 Sanchez Summit Suite 003, Jenniferport, VT 73286",Florida,906 Sanchez Summit Suite 003,Jenniferport,VT,73286,Townhouse,1.58,1170,2021,2775,6929,Street,4,2,Colonial,5,33.498873,-73.375684,Terrace,9.27
"96566 Alexis Courts, Danaton, OK 89202","96566 Alexis Courts, Danaton, OK 89202",Atlanta,96566 Alexis Courts,Danaton,OK,89202,Single Family Home,1.17,1396,1966,1283,6594,Street,3,1,Split,2,38.012597,-114.46725,Mount,5.18
